"id" "time" "iEMG" "SelfReport"
1 0 4.625162 0.9997466
1 0.2 4.622117 0.9997794
1 0.4 3.966059 0.9997575
1 0.6 4.335291 0.9997867
1 0.8 3.859145 0.9997757
1 1 3.916341 1.018664
1 1.2 3.566762 1.157755
1 1.4 3.938619 1.394856
1 1.6 4.485556 1.59493
1 1.8 4.83576 1.780663
1 2 4.217995 1.939992
1 2.2 4.273987 2.084488
1 2.4 4.035338 2.189219
1 2.6 4.21098 2.427527
1 2.8 3.327301 2.657098
1 3 3.458569 2.866722
1 3.2 3.458998 3.016806
1 3.4 3.347134 3.02279
1 3.6 4.275519 3.113047
1 3.8 4.853184 3.412769
1 4 4.312268 3.707458
1 4.2 4.496754 3.768694
1 4.4 4.194702 3.76917
1 4.6 4.238454 3.768601
1 4.8 4.262186 3.767978
1 5 4.201472 3.767472
1 5.2 4.606686 3.768133
1 5.4 4.149516 3.768097
1 5.6 4.104703 3.768064
1 5.8 3.934192 3.768144
1 6 4.969086 3.76772
1 6.2 4.177756 3.768215
1 6.4 4.756308 3.76781
1 6.6 3.766765 3.768875
1 6.8 3.685843 3.743139
1 7 5.114406 3.526366
1 7.2 5.485788 3.073763
1 7.4 4.710756 2.725568
1 7.6 3.924341 2.480249
1 7.8 5.092743 2.15238
1 8 5.401946 1.90901
1 8.2 4.91131 1.743144
1 8.4 4.353997 1.639259
1 8.6 3.926099 1.521696
1 8.8 4.270973 1.376043
1 9 4.237143 1.21389
1 9.2 4.48791 1.138329
1 9.4 4.262419 1.065257
1 9.6 3.973618 1.059408
1 9.8 3.943142 1.041683
1 10 4.084171 1.021863
1 10.2 3.525142 1.001982
1 10.4 3.893094 0.999885
1 10.6 4.513401 0.9998176
1 10.8 4.576997 0.999832
1 11 4.605832 0.9998814
1 11.2 4.341325 0.9998467
1 11.4 4.321092 0.9998103
1 11.6 4.278434 0.9998176
1 11.8 4.336639 0.9998122
1 12 4.326662 0.9998468
1 12.2 4.146402 0.9998631
1 12.4 4.441145 0.9998305
1 12.6 4.630525 0.9998413
1 12.8 4.440326 1.017536
1 13 4.512539 1.203912
1 13.2 4.492161 1.492405
1 13.4 4.478525 1.960143
1 13.6 4.283637 2.401437
1 13.8 4.279718 2.910512
1 14 4.340364 3.219905
1 14.2 3.768488 3.401017
1 14.4 4.843573 3.559281
1 14.6 4.454476 3.863337
1 14.8 4.07984 4.129708
1 15 4.750763 4.164224
1 15.2 3.948901 4.164383
1 15.4 4.538897 4.160868
1 15.6 4.534199 4.162797
1 15.8 3.958652 4.164585
1 16 4.564256 4.16488
1 16.2 4.739725 4.165132
1 16.4 4.474524 4.17443
1 16.6 4.226849 4.178274
1 16.8 4.584465 4.179108
1 17 4.046667 4.181713
1 17.2 4.413858 4.183075
1 17.4 4.496196 4.183929
1 17.6 4.491484 4.184817
1 17.8 3.987005 4.188357
1 18 4.53532 4.199229
1 18.2 4.240474 4.208093
1 18.4 4.47213 4.208121
1 18.6 4.31985 4.20951
1 18.8 4.400096 4.21072
1 19 4.401663 4.210925
1 19.2 4.754162 4.210884
1 19.4 4.229671 4.210547
1 19.6 4.045401 3.930107
1 19.8 3.992593 3.525781
1 20 4.7859 3.161084
1 20.2 3.475453 2.885114
1 20.4 4.124854 2.50979
1 20.6 4.267448 2.014837
1 20.8 4.449242 1.795763
1 21 4.795221 1.795792
1 21.2 4.525587 1.795774
1 21.4 4.254036 1.795788
1 21.6 4.523988 1.795766
1 21.8 4.673672 1.795732
1 22 4.21751 1.795803
1 22.2 4.65623 1.795838
1 22.4 4.100363 1.795783
1 22.6 4.205743 1.795814
1 22.8 4.498633 1.795801
1 23 4.530029 1.795829
1 23.2 4.728442 1.795808
1 23.4 4.212698 1.795796
1 23.6 4.44293 1.795794
1 23.8 4.301439 1.795816
1 24 4.316013 1.795617
1 24.2 4.478617 1.795788
1 24.4 4.765753 1.795797
1 24.6 4.479311 1.795843
1 24.8 4.454268 1.795834
1 25 4.207972 1.795883
1 25.2 4.475415 1.79577
1 25.4 4.261874 1.795839
1 25.6 4.771123 1.364727
1 25.8 4.392349 0.999743
1 26 4.571159 0.9997229
1 26.2 4.699377 0.9997594
1 26.4 4.002771 0.9997375
1 26.6 4.362199 0.9997412
1 26.8 4.749481 0.9997975
1 27 4.953299 0.9998377
1 27.2 4.698934 0.9997867
1 27.4 4.779219 0.9998012
1 27.6 4.814955 0.999792
